name,title,url,is_ad,pricing_unit,price,real_price,rating
,Results,No url,False,$,159.0,168.0,4.3
B0CSB14R7J,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB14R7J/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Wn0-seQH8boHXQmfsv2ncsJNBAv97Dp9f0voL5htuRdMtl6Z0U5I-AfMd5RK1HxrjBIK-PldOtRQCli5RtGcxaEyWGL6o5R1lC8poAMX4MUyJ1MC9nuiPmQ-Vgn-wOqAE4rSW2igzR_qL470vD9d8d5rinKOy8LuIIwn7MFsmFEkgRnixVNFE51_-lTZiv50FPVTXgJok2gNoPw90Jsc4USui1OW1cDTk5Kew8xPfV4.pEiXt0xhxNuvY-UDf1ifBmwBxLn2ifDqpgmjCpVqZZE&dib_tag=se&keywords=phone&qid=1731402697&sr=8-1,False,$,159.0,159.0,4.3
B08PNMBYZ4,"Apple iPhone 12 Mini 5G, US Version, 128GB, Blue - Unlocked (Renewed)",/Apple-iPhone-Mini-128GB-Blue/dp/B08PNMBYZ4/ref=sr_1_33?dib=eyJ2IjoiMSJ9.hDbRv01rqiZwOlru3UIwUt56apOi5W1ey67oiEB7GGxfJlmG0488sKrmxtxuZCMybUBRrW-WVd7gOR0zsPiFpcixU7MpcUUcCAy8vZIKBkrfrjFV1YcEkqeWtU3PnugzN-RY2zYtlMb_CDdw4M0abtQL7I-wo0teAaKdXfqOn0aZIfvQGQFxviPnlWFJjQW4lvhfCW3WbPmI9vhGJgt6kkkeTSzLThVF5O4OPhdDxfc.GSx1MK9MR4hHs99XiyuWrm_UAjxM3nZFf14c1LOio8M&dib_tag=se&keywords=phone&qid=1731402697&sr=8-33,False,$,235.0,235.0,4.0
B0CSB22F9C,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB22F9C/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Wn0-seQH8boHXQmfsv2ncsJNBAv97Dp9f0voL5htuRdMtl6Z0U5I-AfMd5RK1HxrjBIK-PldOtRQCli5RtGcxaEyWGL6o5R1lC8poAMX4MUyJ1MC9nuiPmQ-Vgn-wOqAE4rSW2igzR_qL470vD9d8d5rinKOy8LuIIwn7MFsmFEkgRnixVNFE51_-lTZiv50FPVTXgJok2gNoPw90Jsc4USui1OW1cDTk5Kew8xPfV4.pEiXt0xhxNuvY-UDf1ifBmwBxLn2ifDqpgmjCpVqZZE&dib_tag=se&keywords=phone&qid=1731402697&sr=8-2,False,$,168.0,168.0,4.2
B086QB7WZ1,"AT&T BL102-2 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",/AT-BL102-2-2-Handset-Answering-Unsurpassed/dp/B086QB7WZ1/ref=sr_1_19?dib=eyJ2IjoiMSJ9.UVu6wxKCOHSMNSPmNTZJFOy0urFeHTsN5TT0J-HWaW31JCPUDbbkLIk7I52HQYPPMp3KnCCa_XY7E4T3m-Wq0OWWdO2RyjsX9JQlSdJZf_OOWOLHFDUA-6ECJBU1ijBnssKWDaVcM-_HEAkuOohPq8OqgiaPeI6xJvMJLS6iTFsCTe1FbiZ5dTkhNW7VjJFWarIP4V1heYTMkus3cplLE9namBuwJmLsDu_Rn5ui3KI.2KnvY3K3e8ocxvkTU1zA9vW4fiWNwn3xMuX7e4Hw1dI&dib_tag=se&keywords=phone&qid=1731402697&sr=8-19,False,$,56.95,56.95,4.3
B092NTYZ78,"Panasonic Compact Cordless Phone with DECT 6.0, 1.6"" Amber LCD and Illuminated HS Keypad, Call Block, Caller ID, Multiple Display Languages - 1 Handset - KX-TGB810S (Black/Silver)",/Panasonic-Cordless-Illuminated-Multiple-Languages/dp/B092NTYZ78/ref=sr_1_34?dib=eyJ2IjoiMSJ9.hDbRv01rqiZwOlru3UIwUt56apOi5W1ey67oiEB7GGxfJlmG0488sKrmxtxuZCMybUBRrW-WVd7gOR0zsPiFpcixU7MpcUUcCAy8vZIKBkrfrjFV1YcEkqeWtU3PnugzN-RY2zYtlMb_CDdw4M0abtQL7I-wo0teAaKdXfqOn0aZIfvQGQFxviPnlWFJjQW4lvhfCW3WbPmI9vhGJgt6kkkeTSzLThVF5O4OPhdDxfc.GSx1MK9MR4hHs99XiyuWrm_UAjxM3nZFf14c1LOio8M&dib_tag=se&keywords=phone&qid=1731402697&sr=8-34,False,$,19.99,24.99,4.2
B0D1ZFS9GH,Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,/Stylus-Unlocked-256GB-Camera-Caramel/dp/B0D1ZFS9GH/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Wn0-seQH8boHXQmfsv2ncsJNBAv97Dp9f0voL5htuRdMtl6Z0U5I-AfMd5RK1HxrjBIK-PldOtRQCli5RtGcxaEyWGL6o5R1lC8poAMX4MUyJ1MC9nuiPmQ-Vgn-wOqAE4rSW2igzR_qL470vD9d8d5rinKOy8LuIIwn7MFsmFEkgRnixVNFE51_-lTZiv50FPVTXgJok2gNoPw90Jsc4USui1OW1cDTk5Kew8xPfV4.pEiXt0xhxNuvY-UDf1ifBmwBxLn2ifDqpgmjCpVqZZE&dib_tag=se&keywords=phone&qid=1731402697&sr=8-3,False,$,249.99,399.99,4.4
B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_20?dib=eyJ2IjoiMSJ9.UVu6wxKCOHSMNSPmNTZJFOy0urFeHTsN5TT0J-HWaW31JCPUDbbkLIk7I52HQYPPMp3KnCCa_XY7E4T3m-Wq0OWWdO2RyjsX9JQlSdJZf_OOWOLHFDUA-6ECJBU1ijBnssKWDaVcM-_HEAkuOohPq8OqgiaPeI6xJvMJLS6iTFsCTe1FbiZ5dTkhNW7VjJFWarIP4V1heYTMkus3cplLE9namBuwJmLsDu_Rn5ui3KI.2KnvY3K3e8ocxvkTU1zA9vW4fiWNwn3xMuX7e4Hw1dI&dib_tag=se&keywords=phone&qid=1731402697&sr=8-20,False,$,49.99,49.99,4.3
B0D9927L49,Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 4/128GB | 50 MPCamera | Mineral Black,/Motorola-Power-Unlocked-MPCamera-Mineral/dp/B0D9927L49/ref=sr_1_35?dib=eyJ2IjoiMSJ9.hDbRv01rqiZwOlru3UIwUt56apOi5W1ey67oiEB7GGxfJlmG0488sKrmxtxuZCMybUBRrW-WVd7gOR0zsPiFpcixU7MpcUUcCAy8vZIKBkrfrjFV1YcEkqeWtU3PnugzN-RY2zYtlMb_CDdw4M0abtQL7I-wo0teAaKdXfqOn0aZIfvQGQFxviPnlWFJjQW4lvhfCW3WbPmI9vhGJgt6kkkeTSzLThVF5O4OPhdDxfc.GSx1MK9MR4hHs99XiyuWrm_UAjxM3nZFf14c1LOio8M&dib_tag=se&keywords=phone&qid=1731402697&sr=8-35,False,$,144.99,144.99,4.2
B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",/Galaxy-S21-Ultra-5G-Smartphone/dp/B096T6Y623/ref=sr_1_21?dib=eyJ2IjoiMSJ9.UVu6wxKCOHSMNSPmNTZJFOy0urFeHTsN5TT0J-HWaW31JCPUDbbkLIk7I52HQYPPMp3KnCCa_XY7E4T3m-Wq0OWWdO2RyjsX9JQlSdJZf_OOWOLHFDUA-6ECJBU1ijBnssKWDaVcM-_HEAkuOohPq8OqgiaPeI6xJvMJLS6iTFsCTe1FbiZ5dTkhNW7VjJFWarIP4V1heYTMkus3cplLE9namBuwJmLsDu_Rn5ui3KI.2KnvY3K3e8ocxvkTU1zA9vW4fiWNwn3xMuX7e4Hw1dI&dib_tag=se&keywords=phone&qid=1731402697&sr=8-21,False,$,279.99,279.99,3.8
